titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle Marqués de Viana, 82, Valdeacederas, Madrid",1.801€/mes,3,95,Planta 21ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle Marqués de Viana, 82, Valdeacederas, Madrid",1.590€/mes,3,85,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle Marqués de Viana, 82, Valdeacederas, Madrid",1.702€/mes,3,91,Planta 15ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Maudes, Nuevos Ministerios-Ríos Rosas, Madrid",1.800€/mes,2,100,N/A,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Calle de Müller, Valdeacederas, Madrid",1.025€/mes,N/A,34,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Cuatro Caminos, Madrid",1.800€/mes,2,97,Planta 5ª exterior con ascensor,Madrid
"Piso en Calle de Tenerife, 60, Bellas Vistas, Madrid",3.260€/mes,2,60,Planta 2ª sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Julián Besteiro, Cuzco-Castillejos, Madrid",2.200€/mes,1,80,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del Marqués de Leis, 9, Cuzco-Castillejos, Madrid",1.750€/mes,1,38,Planta 2ª con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Sánchez Preciado, Valdezarza, Madrid",1.190€/mes,2,50,Planta 8ª exterior con ascensor,"Valdezarza, Madrid"
"Piso en Calle de Sor Ángela de la Cruz, Cuzco-Castillejos, Madrid",1.600€/mes,2,75,Planta 8ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Orense, Cuzco-Castillejos, Madrid",2.365€/mes,2,100,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.093€/mes,1,45,Planta 5ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Martínez, Berruguete, Madrid",1.200€/mes,1,57,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Martínez, Berruguete, Madrid",1.200€/mes,1,57,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Martínez, Berruguete, Madrid",1.200€/mes,1,57,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Martínez, Berruguete, Madrid",1.200€/mes,1,57,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Estudio en Calle de Bravo Murillo, 104, Cuatro Caminos, Madrid",1.000€/mes,N/A,30,Planta 2ª interior sin ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de Müller, Valdeacederas, Madrid",1.015€/mes,N/A,34,Planta 1ª interior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Lérida, Cuatro Caminos, Madrid",1.800€/mes,2,94,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Ciudad Universitaria, Madrid",2.150€/mes,3,131,Planta 1ª exterior con ascensor,Madrid
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.375€/mes,N/A,15,Planta 1ª sin ascensor,"Bellas Vistas, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,Planta 1ª sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle del Marqués de Leis, 10, Cuzco-Castillejos, Madrid",1.750€/mes,1,24,Planta 2ª con ascensor,"Cuzco-Castillejos, Madrid"
"Dúplex en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",2.500€/mes,3,130,Planta 7ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.500€/mes,3,102,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en San Raimundo, Bellas Vistas, Madrid",950€/mes,1,43,Planta 1ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.000€/mes,2,87,Planta 4ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de María de Guzmán, Nuevos Ministerios-Ríos Rosas, Madrid",3.500€/mes,4,125,Planta 3ª exterior sin ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Ático en Calle del Pensamiento, Cuzco-Castillejos, Madrid",2.400€/mes,3,121,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Palencia, Cuatro Caminos, Madrid",2.500€/mes,4,132,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle del Arándano, 1, Valdeacederas, Madrid",1.500€/mes,N/A,20,N/A,"Valdeacederas, Madrid"
"Piso en Calle Herrera, s/n, Valdeacederas, Madrid",2.200€/mes,2,65,N/A,"s/n, Valdeacederas, Madrid"
"Piso en Calle de Olite, 17, Bellas Vistas, Madrid",1.250€/mes,2,40,N/A,"Bellas Vistas, Madrid"
"Piso en Calle Herrera, s/n, Valdeacederas, Madrid",2.400€/mes,3,65,N/A,"s/n, Valdeacederas, Madrid"
"Piso en Calle de Berruguete, s/n, Berruguete, Madrid",900€/mes,1,30,N/A,"s/n, Berruguete, Madrid"
"Ático en Calle de Sor Ángela de la Cruz, Cuzco-Castillejos, Madrid",2.500€/mes,2,87,Planta 7ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Gonzalo Herrero, 13, Valdeacederas, Madrid",2.250€/mes,1,30,N/A,"Valdeacederas, Madrid"
"Piso en Calle de Mariano Fernández, Berruguete, Madrid",1.200€/mes,2,10,N/A,"Berruguete, Madrid"
"Piso en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.600€/mes,4,165,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Wad-Ras, Bellas Vistas, Madrid",1.600€/mes,2,88,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de la Hierbabuena, 12, Berruguete, Madrid",1.250€/mes,1,65,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,N/A,"Bellas Vistas, Madrid"
"Piso en Calle de José Francisco Iturzaeta e Izaguirre, Valdeacederas, Madrid",1.600€/mes,2,98,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Ático en Calle del Aviador Zorita, Cuatro Caminos, Madrid",3.200€/mes,3,130,Planta 8ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Vallehermoso, Madrid",3.500€/mes,4,130,Planta 3ª exterior con ascensor,Madrid
"Piso en Calle de Cuevas, Valdeacederas, Madrid",2.000€/mes,2,150,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Bravo Murillo, Bellas Vistas, Madrid",1.500€/mes,1,29,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Olite, Bellas Vistas, Madrid",1.250€/mes,2,40,N/A,"Bellas Vistas, Madrid"
"Piso en de martinez, Valdezarza, Madrid",1.200€/mes,1,57,N/A,"Valdezarza, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, Cuatro Caminos, Madrid",3.975€/mes,3,130,Planta 6ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Avenida de la Reina Victoria, Bellas Vistas, Madrid",5.300€/mes,4,192,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Benjamín, Valdeacederas, Madrid",1.300€/mes,1,65,Planta 4ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",3.600€/mes,5,183,Planta 6ª exterior con ascensor,Madrid
"Piso en Bellas Vistas, Madrid",5.300€/mes,4,290,Planta 2ª exterior con ascensor,Madrid
"Piso en Calle de Villaamil, Berruguete, Madrid",1.290€/mes,2,50,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Dúplex en Avenida de la Reina Victoria, Bellas Vistas, Madrid",5.300€/mes,4,290,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,N/A,"Bellas Vistas, Madrid"
"Piso en Calle de la Coruña, Cuatro Caminos, Madrid",850€/mes,1,37,Planta 2ª interior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,N/A,"Bellas Vistas, Madrid"
"Piso en Avenida de Pablo Iglesias, Vallehermoso, Madrid",2.400€/mes,2,85,Planta 7ª exterior con ascensor,"Vallehermoso, Madrid"
"Piso en Paseo de la Dirección, Berruguete, Madrid",1.700€/mes,2,70,Planta 7ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Oviedo, Cuatro Caminos, Madrid",1.090€/mes,2,40,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Numancia, Bellas Vistas, Madrid",1.600€/mes,3,120,Planta 6ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",2.336€/mes,1,62,Planta 5ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de la Orden, Cuatro Caminos, Madrid",1.500€/mes,3,83,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Ático en Calle de Rosario Romero, Ventilla-Almenara, Madrid",1.600€/mes,2,60,Planta 3ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",2.592€/mes,3,93,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Cuatro Caminos, Madrid",1.550€/mes,1,80,Planta 1ª exterior con ascensor,Madrid
"Piso en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",1.950€/mes,3,106,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de María Ignacia, Bellas Vistas, Madrid",1.900€/mes,3,74,Planta 5ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Avenida de la Reina Victoria, Vallehermoso, Madrid",1.600€/mes,1,60,Planta 2ª exterior con ascensor,"Vallehermoso, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,N/A,"Bellas Vistas, Madrid"
"Dúplex en Calle Lino, 13, Cuzco-Castillejos, Madrid",1.350€/mes,1,75,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del Aviador Zorita, Cuatro Caminos, Madrid",1.800€/mes,2,97,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Sor Ángela de la Cruz, Cuzco-Castillejos, Madrid",2.900€/mes,3,142,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, 11, Bellas Vistas, Madrid",1.400€/mes,N/A,15,N/A,"Bellas Vistas, Madrid"
"Piso en Valdezarza, Madrid",1.200€/mes,1,60,N/A,Madrid
"Piso en Valdezarza, Madrid",1.200€/mes,1,60,N/A,Madrid
"Piso en Valdezarza, Madrid",1.200€/mes,1,60,N/A,Madrid
"Piso en Ventilla-Almenara, Madrid",3.300€/mes,3,88,N/A,Madrid
"Piso en Calle de Lazaga, Cuzco-Castillejos, Madrid",2.600€/mes,4,10,N/A,"Cuzco-Castillejos, Madrid"
"Piso en Calle del Nenúfar, Berruguete, Madrid",2.700€/mes,4,110,Planta 2ª exterior sin ascensor,"Berruguete, Madrid"
"Estudio en Calle de Oviedo, Cuatro Caminos, Madrid",1.500€/mes,N/A,37,N/A,"Cuatro Caminos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, 15, Cuatro Caminos, Madrid",2.000€/mes,2,75,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de Gonzalo Herrero, 33, Valdeacederas, Madrid",900€/mes,N/A,22,Bajo interior sin ascensor,"Valdeacederas, Madrid"
"Estudio en Calle de Almansa, Bellas Vistas, Madrid",750€/mes,N/A,10,N/A,"Bellas Vistas, Madrid"
