titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle Esperanza Sánchez Carrascosa, 13, Valdeacederas, Madrid",1.125€/mes,1,42,Bajo exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Bravo Murillo, 243, Cuatro Caminos, Madrid",2.500€/mes,3,84,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Ático en Calle de la Salvia, 4, Valdeacederas, Madrid",1.100€/mes,1,65,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle del Aviador Zorita, 6, Cuatro Caminos, Madrid",1.400€/mes,1,60,N/A,"Cuatro Caminos, Madrid"
"Estudio en Vallehermoso, Madrid",1.090€/mes,N/A,40,Planta 4ª exterior con ascensor,Madrid
"Piso en Calle de Lérida, 91, Cuzco-Castillejos, Madrid",1.100€/mes,1,37,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Cuatro Caminos, Madrid",1.600€/mes,2,65,Planta 7ª exterior con ascensor,Madrid
"Piso en Calle de la Hierbabuena, 12, Berruguete, Madrid",1.900€/mes,1,55,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Rita Luna, 2, Berruguete, Madrid",1.200€/mes,2,41,Planta 2ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",1.200€/mes,1,50,Planta 1ª interior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",2.350€/mes,2,111,Planta 6ª exterior con ascensor,Madrid
"Piso en CL Juan Montalvo, Ciudad Universitaria, Madrid",1.600€/mes,2,75,Planta 2ª interior con ascensor,"Ciudad Universitaria, Madrid"
"Piso en Calle de Jerónima Llorente, s/n, Bellas Vistas, Madrid",1.100€/mes,2,62,Planta 1ª exterior con ascensor,"s/n, Bellas Vistas, Madrid"
"Piso en Calle de Oudrid, 22, Bellas Vistas, Madrid",1.275€/mes,1,70,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Estudio en Calle de Sánchez Preciado, Valdezarza, Madrid",880€/mes,N/A,38,Planta 3ª exterior sin ascensor,"Valdezarza, Madrid"
"Piso en Calle de Alonso Núñez, Berruguete, Madrid",850€/mes,1,30,Bajo exterior sin ascensor,"Berruguete, Madrid"
"Estudio en Avenida del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",680€/mes,N/A,27,Bajo interior sin ascensor,"Bellas Vistas, Madrid"
"Estudio en Calle de Jaén, 8, Cuatro Caminos, Madrid",1.150€/mes,N/A,30,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Almansa, 7, Bellas Vistas, Madrid",1.510€/mes,2,42,Planta 2ª interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Sánchez Preciado, Valdezarza, Madrid",1.200€/mes,1,46,Bajo exterior sin ascensor,"Valdezarza, Madrid"
"Piso en Calle de Tablada, 47, Berruguete, Madrid",1.150€/mes,1,57,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Ático en Calle de Raimundo Fernández Villaverde, 35, Cuatro Caminos, Madrid",2.200€/mes,2,60,Planta 8ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Juan de Olías, 37, Cuatro Caminos, Madrid",2.000€/mes,2,47,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de María Luisa, 20, Berruguete, Madrid",1.200€/mes,1,65,Planta 2ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de María de Guzmán, Madrid, Nuevos Ministerios-Ríos Rosas, Madrid",1.700€/mes,2,49,Planta 4ª interior con ascensor,"Madrid, Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Ceuta, 23, Valdeacederas, Madrid",1.590€/mes,2,67,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Santa Engracia, Nuevos Ministerios-Ríos Rosas, Madrid",1.995€/mes,3,50,Bajo exterior sin ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Berruguete, Madrid",1.950€/mes,2,85,Planta 3ª exterior con ascensor,Madrid
"Piso en Calle de Nuestra Señora del Carmen, 4, Berruguete, Madrid",1.800€/mes,2,57,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle del Marqués de Viana, Valdeacederas, Madrid",1.200€/mes,2,68,Planta 4ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Pinos Baja, Valdeacederas, Madrid",1.800€/mes,3,61,Planta 5ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Carlos Latorre, 3, Bellas Vistas, Madrid",1.700€/mes,2,57,Bajo interior sin ascensor,"Bellas Vistas, Madrid"
"Ático en Calle Abel, 9, Bellas Vistas, Madrid",2.400€/mes,3,92,Planta 3ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Estudio en Calle de Don Quijote, 1  - C, Cuatro Caminos, Madrid",1.100€/mes,N/A,43,Planta 1ª exterior con ascensor,"1  - C, Cuatro Caminos, Madrid"
"Piso en Calle Cantueso, 47, Valdeacederas, Madrid",1.290€/mes,1,65,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle Esperanza Sánchez Carrascosa, 38, Valdeacederas, Madrid",1.675€/mes,3,110,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Estudio en Calle de Zamora, 15, Bellas Vistas, Madrid",1.200€/mes,N/A,56,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Isla de la Gomera, 13, Berruguete, Madrid",1.400€/mes,2,60,Planta 3ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Asunción Castell, 1, Cuatro Caminos, Madrid",1.550€/mes,1,58,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Avenida de Pablo Iglesias, 94, Bellas Vistas, Madrid",1.190€/mes,1,66,Planta 4ª exterior con ascensor,"Bellas Vistas, Madrid"
"Dúplex en Bellas Vistas, Madrid",5.300€/mes,4,200,Planta 2ª exterior con ascensor,Madrid
"Piso en Valdeacederas, Madrid",900€/mes,1,38,Planta 2ª exterior con ascensor,Madrid
"Piso en Calle Sófora, 21, Cuzco-Castillejos, Madrid",2.390€/mes,4,110,Bajo exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Dúplex en Nuevos Ministerios-Ríos Rosas, Madrid",6.400€/mes,5,244,Planta 8ª exterior con ascensor,Madrid
"Piso en Calle de Juan de Olías, Cuatro Caminos, Madrid",1.300€/mes,1,44,Bajo exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Valdeacederas, Madrid",1.200€/mes,1,71,Planta 1ª exterior con ascensor,Madrid
"Piso en CL Carnicer, Bellas Vistas, Madrid",900€/mes,1,31,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Orense, Cuatro Caminos, Madrid",1.550€/mes,1,65,Planta 1ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",1.300€/mes,1,50,Planta 6ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",2.300€/mes,2,90,Planta 1ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Calle de Dulcinea, Cuatro Caminos, Madrid",1.300€/mes,N/A,53,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle sofora, 25, Cuzco-Castillejos, Madrid",900€/mes,N/A,40,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Cuatro Caminos, Madrid",1.000€/mes,1,51,Planta 1ª exterior sin ascensor,Madrid
"Dúplex en Calle Reina Mercedes, Cuatro Caminos, Madrid",590€/mes,N/A,20,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",2.400€/mes,4,100,Planta 3ª exterior con ascensor,Madrid
"Piso en Calle de Huesca, 25, Cuzco-Castillejos, Madrid",1.690€/mes,2,82,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Cuatro Caminos, Madrid",1.400€/mes,1,65,Planta 5ª exterior con ascensor,Madrid
"Piso en Calle del Roble, 10, Cuzco-Castillejos, Madrid",1.100€/mes,1,45,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Cuatro Caminos, Madrid",1.400€/mes,1,65,Planta 3ª exterior con ascensor,Madrid
"Piso en palencia, Cuatro Caminos, Madrid",2.500€/mes,1,45,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Manuel Luna, 8, Cuatro Caminos, Madrid",1.450€/mes,1,80,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Tenerife, Bellas Vistas, Madrid",1.350€/mes,2,48,Bajo exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Ventilla-Almenara, Madrid",1.000€/mes,1,46,Bajo exterior sin ascensor,Madrid
"Piso en Avenida de la Reina Victoria, Vallehermoso, Madrid",1.450€/mes,1,40,Planta 1ª exterior con ascensor,"Vallehermoso, Madrid"
"Estudio en Calle de los Yeros, Ventilla-Almenara, Madrid",840€/mes,N/A,60,Bajo exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Estudio en Calle Lino, Cuzco-Castillejos, Madrid",1.100€/mes,N/A,39,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle Mártires de Paracuellos, Cuatro Caminos, Madrid",1.000€/mes,1,54,N/A,"Cuatro Caminos, Madrid"
"Piso en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",1.800€/mes,1,65,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",1.800€/mes,1,65,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Calle del Capitán Blanco Argibay, Valdeacederas, Madrid",825€/mes,N/A,27,Bajo interior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Bravo Murillo, 342, Cuzco-Castillejos, Madrid",1.290€/mes,1,65,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Avenida del Doctor Federico Rubio y Galí, 19, Bellas Vistas, Madrid",1.325€/mes,1,51,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Cuatro Caminos, Madrid",2.600€/mes,4,143,Planta 7ª exterior con ascensor,Madrid
"Piso en Bellas Vistas, Madrid",1.850€/mes,2,90,Planta 8ª exterior con ascensor,Madrid
"Piso en Calle de Pedro Villar, 17, Cuzco-Castillejos, Madrid",1.050€/mes,1,60,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Nuevos Ministerios-Ríos Rosas, Madrid",1.400€/mes,1,50,Planta 6ª interior con ascensor,Madrid
"Piso en Calle de Olite, 48, Bellas Vistas, Madrid",1.700€/mes,2,68,Planta 4ª exterior con ascensor,"Bellas Vistas, Madrid"
"Estudio en Cuzco-Castillejos, Madrid",1.200€/mes,N/A,40,Planta 5ª exterior con ascensor,Madrid
"Piso en Calle Topete, 23, Bellas Vistas, Madrid",1.200€/mes,1,50,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Cuevas, 44, Valdeacederas, Madrid",2.200€/mes,2,150,Planta 1ª exterior sin ascensor,"Valdeacederas, Madrid"
"Ático en Calle reina mercedes, 4, Cuatro Caminos, Madrid",1.400€/mes,1,60,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Dúplex en Calle del Marqués de Leis, 20, Cuzco-Castillejos, Madrid",1.280€/mes,1,80,N/A,"Cuzco-Castillejos, Madrid"
"Estudio en Calle Sófora, 7, Cuzco-Castillejos, Madrid",1.200€/mes,N/A,40,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle Trébol, 1, Berruguete, Madrid",950€/mes,1,46,Bajo exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Jaén, 37, Cuatro Caminos, Madrid",950€/mes,1,25,Planta 4ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Castillejos, 6, Bellas Vistas, Madrid",1.100€/mes,1,47,Bajo exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle del Plátano, 13, Valdeacederas, Madrid",1.350€/mes,2,70,Planta 4ª exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Navarra, 5, Bellas Vistas, Madrid",1.150€/mes,2,72,Planta 2ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Fernando Ossorio, 11, Bellas Vistas, Madrid",1.700€/mes,3,67,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Ático en Calle de Sierra Bullones, 23, Valdeacederas, Madrid",1.200€/mes,1,65,Planta 4ª exterior con ascensor,"Valdeacederas, Madrid"
"Estudio en Calle de Carnicer, 7, Bellas Vistas, Madrid",890€/mes,N/A,60,Bajo exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle del Divino Redentor, 16, Valdeacederas, Madrid",1.300€/mes,1,51,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Glorieta de Cuatro Caminos, 12, Nuevos Ministerios-Ríos Rosas, Madrid",1.699€/mes,2,70,Bajo interior sin ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Calle de jerónima llorente, 17, Bellas Vistas, Madrid",1.050€/mes,N/A,40,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Salamanca, 2, Cuatro Caminos, Madrid",1.600€/mes,1,60,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de la Infanta Mercedes, 92, Cuzco-Castillejos, Madrid",920€/mes,N/A,35,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Alvarado, 10, Bellas Vistas, Madrid",1.560€/mes,2,55,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Ávila, 5, Cuatro Caminos, Madrid",1.650€/mes,2,75,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de José Francisco Iturzaeta e Izaguirre, 2, Valdeacederas, Madrid",1.600€/mes,2,98,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Pedro Tezano, 6, Berruguete, Madrid",2.200€/mes,2,90,Planta 2ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de las Azucenas, 31, Valdeacederas, Madrid",1.295€/mes,1,50,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Nuestra Señora del Carmen, 7, Berruguete, Madrid",1.200€/mes,1,55,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de la Infanta Mercedes, 96, Cuzco-Castillejos, Madrid",1.400€/mes,1,60,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Alvarado, 11, Bellas Vistas, Madrid",1.550€/mes,2,47,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de los Voluntarios Catalanes, 42, Valdeacederas, Madrid",2.499€/mes,1,50,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Almansa, 45  bajo 6, Bellas Vistas, Madrid",1.750€/mes,2,75,Bajo exterior sin ascensor,"45  bajo 6, Bellas Vistas, Madrid"
"Piso en Calle Carolinas, 17, Bellas Vistas, Madrid",1.600€/mes,1,92,Bajo exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Paseo de la Dirección, 116, Berruguete, Madrid",1.200€/mes,1,50,Planta 5ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Almansa, 45, Bellas Vistas, Madrid",1.750€/mes,2,75,Bajo exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Almansa, 70, Bellas Vistas, Madrid",2.700€/mes,3,82,Planta 2ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Lope de Haro, 23, Berruguete, Madrid",1.600€/mes,3,90,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de los Artistas, 51, Cuatro Caminos, Madrid",1.400€/mes,2,58,Bajo interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Bellas Vistas, Madrid",1.300€/mes,1,40,Planta 3ª interior sin ascensor,Madrid
"Piso en Bellas Vistas, Madrid",1.450€/mes,3,81,Planta 2ª exterior sin ascensor,Madrid
"Piso en Calle de la Coruña, Cuatro Caminos, Madrid",1.195€/mes,2,45,Planta 2ª interior sin ascensor,"Cuatro Caminos, Madrid"
"Dúplex en Calle de Guipúzcoa, 1, Cuatro Caminos, Madrid",2.400€/mes,2,97,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Bellas Vistas, Madrid",1.300€/mes,3,75,Planta 2ª exterior con ascensor,Madrid
"Piso en Calle del Poeta Joan Maragall, Cuzco-Castillejos, Madrid",1.700€/mes,3,88,Planta 7ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Valdezarza, Madrid",1.400€/mes,3,85,Planta 3ª exterior sin ascensor,Madrid
"Piso en Calle Alonso Castrillo, Cuzco-Castillejos, Madrid",1.350€/mes,1,41,Bajo interior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Cuatro Caminos, Madrid",2.300€/mes,N/A,45,Planta 1ª interior con ascensor,Madrid
"Piso en Calle Veza, 33, Valdeacederas, Madrid",1.200€/mes,1,70,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Estudio en Calle del Cactus, 45, Valdeacederas, Madrid",850€/mes,N/A,25,Bajo exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Avenida del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",850€/mes,1,33,Planta 3ª interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Juan Pantoja, 19, Bellas Vistas, Madrid",1.190€/mes,2,33,Bajo interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Dulcinea, 65, Cuatro Caminos, Madrid",1.300€/mes,1,50,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Ático en Ciudad Universitaria, Madrid",1.950€/mes,2,75,Planta 6ª exterior con ascensor,Madrid
"Piso en Calle Almansa, 47 b, Bellas Vistas, Madrid",1.300€/mes,2,70,Planta 1ª exterior sin ascensor,"47 b, Bellas Vistas, Madrid"
"Piso en Ciudad Universitaria, Madrid",1.400€/mes,3,88,Planta 5ª exterior con ascensor,Madrid
"Ático en Avenida del Doctor Federico Rubio y Galí, 29, Bellas Vistas, Madrid",1.500€/mes,1,60,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de San Rogelio, 14, Bellas Vistas, Madrid",1.100€/mes,1,45,Planta 3ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Hernani, 17, Cuatro Caminos, Madrid",1.290€/mes,1,35,Planta 2ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle Carolinas, 4, Bellas Vistas, Madrid",825€/mes,N/A,45,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de María Zayas, 19, Berruguete, Madrid",1.090€/mes,1,45,Planta 1ª interior sin ascensor,"Berruguete, Madrid"
"Piso en Calle del Marqués de Leis, 17, Cuzco-Castillejos, Madrid",1.280€/mes,1,65,Bajo exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Navarra, 26, Bellas Vistas, Madrid",1.750€/mes,2,70,Planta 2ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle maría luisa, 15, Berruguete, Madrid",1.060€/mes,2,65,N/A,"Berruguete, Madrid"
"Piso en Calle del Capitán Blanco Argibay, 7, Valdeacederas, Madrid",1.100€/mes,1,33,N/A,"Valdeacederas, Madrid"
"Piso en Berruguete, Madrid",1.100€/mes,1,50,Bajo exterior con ascensor,Madrid
"Estudio en Ventilla-Almenara, Madrid",850€/mes,N/A,40,Bajo exterior sin ascensor,Madrid
"Piso en Bellas Vistas, Madrid",1.450€/mes,3,80,Planta 1ª exterior con ascensor,Madrid
"Estudio en Cuatro Caminos, Madrid",1.950€/mes,N/A,32,Planta 1ª interior con ascensor,Madrid
"Piso en Calle de Lérida, 4, Cuatro Caminos, Madrid",1.640€/mes,2,58,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de María Luisa, 22, Berruguete, Madrid",1.250€/mes,1,60,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Avenida del Doctor Federico Rubio y Galí, 5, Bellas Vistas, Madrid",1.500€/mes,2,70,Planta 7ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Capitan Blanco Argibay, 101, Valdeacederas, Madrid",1.150€/mes,1,67,Planta 3ª interior sin ascensor,"Valdeacederas, Madrid"
